Is Benign(EOI)?,Number of DHT Markers,Number of DQT Markers,Total Number of Markers,Maximum size used in %,Max Marker Size for DHT(FFC4),Max Marker Size for DQT FFDB,Max Marker Size for APP1(FFE0),Max Marker Size for APP12(FFEF),Max Marker Size for COM(FFFE),Label
1,4,2,11,3.1,40,69,18,0,0,1
1,10,2,25,15.8,65,88,18,0,0,1
1,4,2,12,8.1,183,69,18,0,61,1
0,3,3,33,3.4,420,134,330,0,0,1
0,4,4,38,6.6,183,69,6916,17,43,1
0,4,2,11,3,75,69,12849,0,0,1
1,4,1,10,4.7,61,134,62,0,0,1
1,4,1,10,5.2,77,134,62,0,0,1
0,4,2,11,9.1,183,69,18,0,0,1
0,4,2,12,14.5,183,69,18,0,61,1
1,1,1,7,62.7,0,157,134,216,0,1
1,4,1,10,7.7,68,134,62,0,0,1
0,4,2,12,1.1,183,69,18,0,61,1
1,4,1,12,15.9,96,134,2413,0,0,1
1,8,4,39,12.9,183,69,2570,0,0,1
1,9,5,35,7,420,134,716,0,1358,1
1,4,2,12,6.1,65,69,18,0,264,1
1,4,1,10,3,59,134,62,0,0,1
1,4,1,10,16.7,80,134,368,0,0,1
0,4,2,12,5.5,183,69,18,0,61,1
0,4,2,12,1.1,183,69,18,0,61,1
1,8,4,25,15.8,0,94,69,1142,0,1
1,4,1,12,12.7,73,134,2359,0,0,1
1,4,2,11,12.8,183,69,18,0,0,1
1,4,2,12,14.6,183,69,18,0,61,1
1,4,2,10,7.5,57,69,0,0,0,1
0,4,2,12,12.5,183,69,18,0,61,1
1,4,2,12,9.7,0,183,69,181,0,1
1,4,2,11,7.1,183,69,18,0,0,1
1,4,2,12,23.6,67,69,18,0,520,1
1,4,2,11,45.8,56,69,18,0,0,1
1,4,2,12,3,183,69,18,0,62,1
1,1,1,6,2.7,162,134,0,0,0,1
0,4,2,12,4,53,69,489,0,0,1
1,10,2,25,5.9,82,88,18,0,0,1
1,1,1,6,10.2,170,134,0,0,0,1
1,4,2,12,9.7,183,69,18,0,61,1
1,1,1,6,14.4,0,158,134,0,0,1
1,10,2,25,31.9,64,88,18,0,0,1
1,3,3,38,4.6,0,420,134,0,0,1
0,4,2,11,14.2,183,69,18,0,0,1
0,3,3,41,5.1,420,134,438,0,0,1
0,4,2,12,1,183,69,18,0,61,1
0,4,2,12,1.1,183,69,18,0,61,1
1,4,2,12,9.2,183,69,18,0,61,1
0,4,2,12,1.1,183,69,18,0,61,1
1,4,1,10,3.6,60,134,368,0,0,1
1,10,2,25,13.7,51,88,18,0,0,1
0,4,2,12,1.1,183,69,18,0,61,1
0,4,2,12,12.4,183,69,18,0,61,1
0,4,2,11,12.2,183,69,18,0,0,1
0,4,2,11,16,183,69,116,0,0,1
1,4,1,10,5.1,65,134,1551,0,0,1
1,4,2,11,7.3,62,69,18,0,0,1
1,1,1,7,7.3,420,134,18,0,0,1
1,4,2,12,12.7,183,69,18,0,61,1
1,4,2,15,1.2,183,69,3007,0,0,1
1,4,2,11,14.6,0,183,69,181,0,1
1,4,1,10,18.6,75,134,116,0,0,1
0,1,1,15,9.8,249,153,72,0,0,1
0,4,2,12,13.3,183,69,18,0,61,1
1,4,2,12,4.8,183,69,18,0,61,1
0,1,1,6,8.9,194,134,0,0,0,1
1,4,2,12,11,183,69,18,0,62,1
1,4,2,13,2,183,69,31,0,22,1
0,3,3,43,18.3,420,134,322,0,0,1
0,4,2,11,8.7,67,69,18,0,0,1
1,4,2,12,3,183,69,18,0,62,1
1,10,2,25,28.2,49,88,718,0,0,1
0,4,2,12,2.3,183,69,18,0,62,1
1,4,1,10,4.5,71,134,148,0,0,1
1,10,2,25,58.7,44,88,44,0,0,1
1,4,2,10,23.7,68,69,0,0,0,1
1,3,3,27,1.7,321,153,0,0,0,1
1,3,3,34,23.4,0,321,134,1125,0,1
0,4,2,12,11.8,183,69,18,0,61,1
0,98,151,3066,0,27403,16917,16674,30130,18752,1
