Is Benign(EOI)?,Number of DHT Markers,Number of DQT Markers,Total Number of Markers,Maximum size used in %,Make of file,Model of file,Max Marker Size for DHT(FFC4),Max Marker Size for DQT FFDB,Max Marker Size for APP1(FFE0),Max Marker Size for APP12(FFEF),Max Marker Size for COM(FFFE)
1,1,1,8,32.1,0,0,147.0,134.0,53.0,0.0,51.0
1,3,3,35,4.6,2,2,321.0,134.0,1726.0,0.0,0.0
1,4,2,11,4.9,0,0,183.0,69.0,18.0,0.0,0.0
0,10,2,32,6.9,0,0,67.0,88.0,489.0,0.0,559.0
1,1,1,7,6.6,0,0,175.0,134.0,53.0,0.0,0.0
1,3,3,31,1.9,0,0,420.0,134.0,330.0,0.0,0.0
1,4,2,11,10.6,0,0,55.0,69.0,18.0,0.0,0.0
1,4,2,13,2.1,0,0,183.0,69.0,31.0,0.0,22.0
1,4,2,11,23.5,0,0,101.0,69.0,18.0,0.0,0.0
1,4,2,11,28.8,0,0,183.0,69.0,18.0,0.0,0.0
1,3,3,34,2.2,0,0,321.0,153.0,418.0,0.0,0.0
1,10,2,25,1.1,0,0,32.0,88.0,18.0,0.0,0.0
1,2,2,82,19.1,0,0,420.0,134.0,396.0,0.0,57.0
1,4,2,11,17.6,0,0,183.0,69.0,18.0,0.0,0.0
1,5,3,22,5.0,0,0,321.0,134.0,34.0,0.0,8023.0
1,4,2,11,9.2,0,0,80.0,69.0,18.0,0.0,0.0
1,10,2,25,6.6,0,0,64.0,88.0,18.0,0.0,0.0
1,4,2,11,18.0,0,0,84.0,69.0,18.0,0.0,0.0
1,5,1,16,78.9,0,0,82.0,82.0,18.0,0.0,60.0
1,4,2,12,2.1,1,1,183.0,69.0,181.0,0.0,62.0
1,4,2,11,21.3,0,0,183.0,69.0,18.0,0.0,0.0
1,4,2,11,23.9,0,0,183.0,69.0,302.0,0.0,0.0
1,1,1,7,5.8,0,0,236.0,134.0,53.0,0.0,0.0
1,4,2,12,10.8,0,0,183.0,69.0,18.0,0.0,61.0
1,3,3,33,3.1,0,0,420.0,134.0,322.0,0.0,0.0
1,4,2,11,19.4,0,0,72.0,69.0,18.0,0.0,0.0
1,2,1,8,24.7,0,0,183.0,134.0,18.0,0.0,0.0
1,4,2,11,14.7,0,0,183.0,69.0,18.0,0.0,0.0
1,4,2,11,12.6,0,0,183.0,69.0,18.0,0.0,0.0
1,2,1,8,15.8,0,0,66.0,69.0,18.0,0.0,0.0
1,4,1,10,1.5,0,0,183.0,134.0,18.0,0.0,0.0
1,2,1,8,17.5,0,0,183.0,134.0,18.0,0.0,0.0
1,2,1,8,23.9,0,0,183.0,134.0,18.0,0.0,0.0
1,4,2,11,16.5,0,0,76.0,69.0,18.0,0.0,0.0
1,4,2,11,9.1,0,0,88.0,69.0,18.0,0.0,0.0
